File Name,Mean,Variance,Standard Deviation,Range,Coefficient of Variation
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=128&work=10.json,0.031967920492088894,1.619788712383269e-06,0.0012727092018144871,0.11098521600000001,3.981207354821358
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=SNAPPY&maxBatchSize=10&messageSize=1000&messageVersion=2.json,6.837155643730881e-06,3.142850032134417e-12,1.7728085153604202e-06,3.3571058681185725e-05,25.929035519118866
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=10.json,2.2700231758159314e-05,8.353303950254752e-07,0.0009139641103596329,0.10091593297166604,4026.2325076532306
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageReaderPerformance.testRead#.json,0.00016625278941433843,1.8279065958113612e-10,1.3520009599890679e-05,0.0007670496580383871,8.132200155869775
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap#NEED_TO_ENLARGE=0&SIZE=65536.json,0.0019207404845830514,3.086473509371483e-07,0.0005555603936001452,0.007517125558312655,28.924281966220157
apache__arrow#org.apache.arrow.vector.util.TransferPairBenchmarks.splitAndTransferIntVector#.json,1.7973466775565802e-06,5.557261462445397e-13,7.454704194295973e-07,3.9497632664774795e-05,41.47616198579085
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=GZIP&maxBatchSize=2&messageSize=10000&messageVersion=2.json,7.001845269402316e-05,2.0148881947762535e-10,1.419467574401139e-05,0.0010058948291038993,20.272764104116032
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10.json,3.386232134482026e-07,8.688113020525295e-14,2.9475605202481076e-07,1.802686114266298e-05,87.04543584691308
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.55&size=8750000.json,4.348354774084267,0.057189101026907274,0.23914242832861607,8.480882688000001,5.4996071101162105
openzipkin__zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#.json,0.00799754050859126,8.802406978574694e-07,0.0009382114355823369,0.032190268952380946,11.73124955821699
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000.json,1.7588213202701153e-06,6.047393780843553e-13,7.776499071461111e-07,2.7925483805808906e-05,44.21426430211124
apache__arrow#org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark#.json,1.7361798689431976e-05,7.18877926517394e-14,2.6811898972609044e-07,5.335075858670479e-06,1.544304219408401
prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithFlatten#blockSize=1000&nestedLevel=4&numberOfIterations=10&reuseArrays=true.json,4.368035885249245e-05,5.692183214744996e-12,2.385829670103253e-06,0.00011970134999566087,5.462019389905069
apache__kafka#org.apache.kafka.jmh.record.CompressedRecordBatchValidationBenchmark.measureValidateMessagesAndAssignOffsetsCompressed#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=10&messageSize=1000&messageVersion=2.json,7.417114311888838e-05,2.081450885255697e-06,0.0014427234264597277,0.24927584758188157,1945.1276679762059
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct#countk=10&limit=10000&syncThreshold=0.json,0.07223622806186666,9.624455200026013e-05,0.009810430775468533,0.434896896,13.581039650999491
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=2&messageSize=1000&messageVersion=2.json,1.24185460036796e-05,2.9128567668719174e-11,5.397088814233019e-06,7.418575972316453e-05,43.45990917643554
openzipkin__zipkin#zipkin2.SpanBenchmarks.padLeft_17Chars#.json,1.1346922346945743e-07,5.2650077088938186e-14,2.2945604609366514e-07,1.703412362711516e-05,202.21875066892295
apache__camel#org.apache.camel.itest.jmh.SlowTypeConverterTest.typeConvertByteBufToArray#.json,1.2872528138826537e-07,7.830906016699572e-15,8.849240654824329e-08,6.147437241182402e-06,68.74516458140776
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testBellmanFordWattsStogatz#k=1000&numOfVertices=10000&p=0.05.json,4.199421749930666,0.16827081982397124,0.4102082639635277,3.275751424,9.768208300828569
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1.json,1.0027278747408259e-07,4.4678922556556076e-14,2.1137389279794247e-07,1.886403776846544e-05,210.798859912592
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.JaiProcessorPerformance.readInfoWithTIF#.json,0.0003097231151703634,6.036362662413035e-05,0.007769403234749137,0.5299055045748504,2508.499641841576
openzipkin__zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_zipkinDecoder#.json,0.00176894903048425,5.3729917998990395e-08,0.00023179714838407825,0.005294029803921569,13.103664627387468
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_pop&dataType=double&evalMode=PARTIAL1&hasNulls=true&isRepeating=true&processMode=GLOBAL.json,8.948785578468732e-08,1.8567933187790973e-16,1.3626420361852548e-08,7.048697470029429e-07,15.227116844366527
openzipkin__zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData#.json,6.999931739743759e-07,1.0023515345680137e-13,3.165993579538679e-07,1.3581959892249613e-05,45.228920755941175
zalando__logbook#org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType3#.json,7.542706236131742e-08,1.4668798539846547e-16,1.2111481552579166e-08,9.517174457129129e-07,16.05720967172455
jdbi__jdbi#org.jdbi.v3.benchmark.QualifiersBenchmark.neq4To4#.json,6.590667858939102e-07,1.0098799931973311e-13,3.177860905070156e-07,1.6881438343607485e-05,48.21758542664135
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=128000.json,5.8600166380309166e-08,4.2539408997986423e-16,2.0625083999340808e-08,1.6759841523963621e-06,35.196289146153774
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#.json,1.5792403191472512e-05,1.7429508389985032e-09,4.17486627210801e-05,0.007228810893617022,264.359149237168
apache__camel#org.apache.camel.itest.jmh.SimpleMockTest.simpleMockTest#.json,0.016716009516860954,9.698302134503349e-05,0.009847995803463438,0.42468352000000004,58.91355705158011
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor#.json,0.0021489440959365927,9.798387919409772e-06,0.003130237677782595,0.1625965765614035,145.66398836067984
eclipse__jetty.project#org.eclipse.jetty.http.jmh.HttpMethodBenchmark.testMapGet#.json,2.113550885874771e-07,9.725096881416517e-14,3.1185087592335726e-07,1.6276060141616156e-05,147.5483169142087
JCTools__JCTools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet.json,6.375954445778315e-08,2.1216268804655593e-17,4.606112113774001e-09,1.3449868599425385e-07,7.224192319667258
netty__netty#io.netty.microbench.buffer.ByteBufCopyBenchmark.setBytes#alignedCopyByteBuf=false&alignedCopyByteBuffer=true&directByteBuff=false&directByteBuffer=true&nativeOrderByteBuffer=false&pooledByteBuf=true&readonlyByteBuffer=true&size=36.json,6.636070509775479e-08,5.839461928700942e-17,7.641637212470206e-09,4.4590563106564027e-07,11.515304427843926
jdbi__jdbi#org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive#.json,0.0004038417397425223,6.915399954265314e-09,8.315888379641296e-05,0.004117272654076246,20.591948680052894
zalando__logbook#org.zalando.logbook.LogbookBenchmark.json#.json,3.9341967110246895e-05,8.530316307264455e-09,9.235971149405164e-05,0.005862964896997465,234.76129507005737
openzipkin__zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder#.json,0.005313920550858018,3.594958536386639e-07,0.0005995797308437501,0.015787622400000003,11.283189598063117
apache__camel#org.apache.camel.itest.jmh.SimpleOperatorTest.simplePredicate#.json,0.019711589778448255,1.0600009113428147e-05,0.0032557655188032424,0.12734190933333336,16.51701133899888
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#.json,1.869714959862793e-07,3.747900172125264e-14,1.935949423958504e-07,1.6322147360161576e-05,103.54248992587468
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=PrimitiveArray&array_values_length=10000&keyType=String&n_entries=1000&valueType=Boolean.json,0.009973934906351744,2.5824978582165932e-05,0.005081828271613075,0.20487645866666665,50.95108720207099
RoaringBitmap__RoaringBitmap#org.roaringbitmap.iteration.BatchIteratorBenchmark.batchIterate#bufferSize=512&dirtiness=0.1&keys=8192&runniness=0.1.json,0.0530845433856,9.266208293078674e-07,0.0009626114633162579,0.021921791999999996,1.8133554551349518
apache__arrow#org.apache.arrow.vector.ipc.WriteChannelBenchmark.alignBenchmark#alignSize=2.json,1.5471707558569803e-07,3.74981253264374e-13,6.123571288589478e-07,3.4560092825443784e-05,395.7915611711276
h2oai__h2o-3#water.jdbc.SQLManagerBench.writeItem_double#rows=100&useRef=true.json,1.3581056311270394e-05,2.7467647450222434e-12,1.6573366420321018e-06,5.157287919233783e-05,12.203297034095515
apache__arrow#org.apache.arrow.vector.ipc.WriteChannelBenchmark.alignBenchmark#alignSize=3.json,1.521222843121129e-07,3.77112728293241e-13,6.140950482565716e-07,3.507195766666667e-05,403.6851346490552
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000.json,0.00016689998550313778,7.855063982421482e-10,2.8026887059431845e-05,0.0004307703186456611,16.79262402266951
openzipkin__zipkin#zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese#.json,1.0581543749687876e-07,5.3858893178553324e-17,7.338861844901655e-09,1.8655588484508186e-07,6.9355304088953265
openzipkin__zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder#.json,0.0025682410396031317,1.2481216286945491e-07,0.000353287648905895,0.01112772673015873,13.756016022564932
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderRewrite#.json,1.4087615833862468e-07,4.8803170821491015e-14,2.2091439704440046e-07,1.9408655971455405e-05,156.8146091217135
apache__arrow#org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark#.json,1.8273716656138536e-05,1.6769927397999226e-14,1.294987544264393e-07,7.559344084105494e-06,0.7086612803692448
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV2Benchmark.attach#.json,2.1030554726667734e-07,5.0937183341574176e-14,2.2569267454123136e-07,1.9619643350788248e-05,107.3165579674617
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3.json,1.7150122662229874e-07,9.20862674699507e-14,3.0345719215393577e-07,2.2075628173803523e-05,176.9417036428823
imglib__imglib2#net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder_MultiThreaded#.json,0.002297086965802854,1.742868875992566e-05,0.004174768108521198,0.277819392,181.74183958516676
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect#.json,2.7283888805005252e-06,3.188361860828661e-12,1.7855984601328097e-06,6.522260659075825e-05,65.44515970191317
prestodb__presto#com.facebook.presto.operator.BenchmarkWindowOperator.benchmark#numberOfPregroupedColumns=2&partitionsPerGroup=100&rowsPerPartition=10.json,0.7601561534463999,0.0013062549608305616,0.036142149366502285,0.9930014719999997,4.754569071452072
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100.json,1.8198252572333934e-07,5.0284814742499593e-14,2.2424275850626614e-07,1.9623841210808773e-05,123.22213773819873
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=128000.json,6.221786244224818e-08,2.5641795406371436e-16,1.601305573785698e-08,2.0379963298907783e-06,25.737071492484347
apache__camel#org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionIntToLong#.json,2.1034877330769654e-05,4.671834775749861e-13,6.835082132461804e-07,1.5679254910887337e-05,3.2494043226311096
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#.json,7.977854142952603e-08,4.177547174367174e-14,2.0439048838845642e-07,3.198047266377807e-05,256.1973241501398
JCTools__JCTools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=10000.json,5.660540518602938e-08,1.2685482584172782e-16,1.1262984766114523e-08,1.1851104560498787e-06,19.897366212819385
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOffHeap#.json,0.0011777028738291452,6.525881318890686e-08,0.0002554580458488377,0.01574426773045822,21.69121359263136
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=500&messageSize=1000&messageVersion=2.json,0.00017098897213968257,1.8737408191442578e-09,4.328672797918847e-05,0.000616896,25.315508618782225
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithPlanarImage#.json,0.0027480718959200724,1.1940880950219707e-05,0.003455557979577207,0.21071706209523813,125.74481711004375
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=10&qType=MpscArrayQueue.json,1.3337930292499337e-06,8.173978826844923e-14,2.8590171085260965e-07,7.453049829448471e-06,21.435238045395106
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_java_HashSet#size=100.json,5.046473804102538e-07,6.630879017290675e-14,2.5750493232733765e-07,2.1770534568298285e-05,51.02670544291712
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#.json,7.317764888154257e-08,1.893983220444735e-14,1.3762206292759658e-07,1.800497430305191e-05,188.06570726312125
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.hppc#isPresized=false&loadFactor=0.75f&size=5000000.json,2.4139259707392005,0.008218870850068578,0.09065798834117475,3.338665984,3.7556242171508334
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=MpscArrayQueue.json,8.691336144295185e-05,6.452076816275796e-10,2.5400938597374302e-05,7.225712303354635e-05,29.225585313538883
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.KShortestPathsPerformance.testEppsteinKShortestPaths#k=50&n=100&numberOfQueries=20&p=0.3.json,0.04559665379555555,1.6248992383934927e-05,0.004031003892820612,0.25755648,8.840569553403338
hazelcast__hazelcast#com.hazelcast.query.impl.bitmap.SparseBitSetAddBenchmark.sequentialAdd_Roaring#.json,7.315486846363375e-08,6.95661467741618e-15,8.34063227664197e-08,4.864908354356651e-06,114.01335894395339
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJavaStringReplaceReduce#matches=1&size=3.json,1.2101416348982357e-07,1.1223636268797608e-13,3.350169588065298e-07,3.0840741038382305e-05,276.84111441608434
netty__netty#io.netty.microbenchmark.common.AppendableCharSequenceBenchmark.appendCheckBeforeCopy#charsInitSize=64&simulatedDataSize=10000.json,5.982935023760128e-08,2.3641269697051248e-15,4.8622288815985665e-08,4.7182919161942705e-06,81.26828826134862
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema#param=longChain::5803.json,0.04027750663964444,3.482053459401266e-05,0.0059008926946702445,0.27448661333333335,14.650590830918267
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000.json,0.10248412200959998,2.8016548601011094e-06,0.0016738144640613874,0.041025536,1.6332427221307475
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToInputStream#.json,2.7511968764960285e-06,1.054447997277182e-12,1.0268631833292993e-06,2.6274931731204488e-05,37.324234848548166
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybePerf.flowablePlain#count=1000.json,2.6701765013927898e-05,1.6290428812069403e-12,1.2763396417909067e-06,6.391913238069436e-05,4.779982301264188
netty__netty#io.netty.buffer.AbstractByteBufGetCharSequenceBenchmark.getCharSequence#bufferType=COMPOSITE&charsetName=US-ASCII&size=8.json,2.627303911626348e-07,4.9647978851557916e-14,2.228182641785855e-07,1.9221944566462953e-05,84.80871329448028
raphw__byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#.json,7.340157041430554e-09,2.6428871673799536e-16,1.6256959024922076e-08,9.463763587350825e-07,221.47971675758166
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur128#.json,0.0007385869691507717,6.310421315745719e-09,7.943816032452992e-05,0.0025785773419354837,10.75542402486034
