File,Mean,Variance,Standard Deviation,Range
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=10.json,1.0090996075567722e-05,1.6803285317275267e-12,1.296058370503814e-06,2.5536940795479993e-05
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageReaderPerformance.testRead#.json,0.00016453845211199,8.280310313896774e-11,9.098101273996345e-06,0.0001052348697707883
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap#NEED_TO_ENLARGE=0&SIZE=65536.json,0.0018077965968993656,1.5960965352543796e-07,0.00039944504464058773,0.003451732232258065
apache__arrow#org.apache.arrow.vector.util.TransferPairBenchmarks.splitAndTransferIntVector#.json,1.8308096731591452e-06,3.5622158424711303e-13,5.96743333236376e-07,2.009604120028759e-05
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=GZIP&maxBatchSize=2&messageSize=10000&messageVersion=2.json,6.986666297679922e-05,9.072035129398145e-11,9.523132393044127e-06,0.00019007400486618006
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10.json,3.4257307629127707e-07,7.662302655904109e-14,2.7676241501656545e-07,1.1455929149805597e-05
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=false&loadFactor=0.55&size=8750000.json,4.2672882517675355,0.03943228277023678,0.1985424698524469,7.457472512000001
openzipkin__zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#.json,0.008029764102161212,5.870290043883901e-07,0.0007660502176206535,0.007884214857142857
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000.json,1.8218391896866371e-06,9.726979874918214e-13,9.860898057806244e-07,2.7906834490401974e-05
apache__arrow#org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark#.json,1.7421969852652708e-05,1.323451445383309e-13,3.637319632411225e-07,5.266057663750643e-06
