filename,Mean,Variance,Standard Deviation,Range,Coefficient of Variation
protostuff__protostuff#io,-0.1997092515411391,-0.06220960927956316,-0.15154245835257535,-0.0847549524567473,-0.1547965503497246
h2oai__h2o-3#water,-0.19240150099118317,-0.06210308941638627,-0.10972689122775783,-0.053193707725827315,-0.22293310813511638
RoaringBitmap__RoaringBitmap#org,-0.16081442110096714,-0.06220578726206209,-0.1436229498601869,-0.08138014315166907,-0.2865951465143056
apache__arrow#org,-0.19970927517390585,-0.062209609278171075,-0.15153901245781284,-0.08475214267505916,0.2238365474439647
h2oai__h2o-3#water,-0.19969943771475065,-0.06220960926838822,-0.1515304135691171,-0.08474952164432473,-0.27313410881391226
apache__arrow#org,-0.19970927707510563,-0.06220960927816228,-0.1515389981568861,-0.08475206381593216,0.23406333162457782
protostuff__protostuff#io,-0.19958710115918113,-0.062209606039752466,-0.15131342478977955,-0.08469110157592456,-0.2671882521271216
openzipkin__zipkin#zipkin2,-0.1997093110040647,-0.06220960927971753,-0.1515439910097092,-0.08475743834472961,-0.27995894075351474
openzipkin__zipkin#zipkin2,-0.19782764207485798,-0.062209094469047585,-0.14863693108540188,-0.08304310277578741,-0.2711224315890636
apache__logging-log4j2#org,-0.19970928531512572,-0.06220960927951646,-0.1515422335472593,-0.08475447694181647,-0.08577806748095228
apache__arrow#org,-0.1996959994093674,-0.06220960927964858,-0.1515429857849118,-0.0847563024752693,-0.2880263701473661
jdbi__jdbi#org,-0.19970923444431385,-0.06220960927950765,-0.15154219422794646,-0.08475444443659398,-0.14990692976759085
eclipse__jetty,-0.19970926287618293,-0.06220960927933793,-0.15154155432216557,-0.08475406606167259,-0.05970173431874614
imglib__imglib2#net,-0.19802631626883999,-0.062137721454570194,-0.11719087428623062,-0.04195594419877062,-0.05348275701314237
crate__crate#io,-0.19970738944833205,-0.062209609266566775,-0.1515293581330211,-0.08474741873453343,-0.20415482580601316
prestodb__presto#com,0.3572559152489589,-0.056821720981532764,0.14586112804179718,0.06822672499964194,-0.2827845584495635
protostuff__protostuff#io,-0.19970925519655036,-0.062209609279510344,-0.1515422061589618,-0.0847544437898616,-0.12929992179614425
JCTools__JCTools#org,-0.19970934294794432,-0.06220960927971669,-0.1515439196318239,-0.08475715310736727,-0.2555999728586244
apache__camel#org,-0.1996939763109724,-0.06220960927779077,-0.15153842697240616,-0.08475505150230234,-0.2847346251823939
protostuff__protostuff#io,-0.19970933008126043,-0.06220960927954544,-0.15154236951858652,-0.08475254009753784,0.04298054618383529
JCTools__JCTools#org,-0.1997093470601835,-0.06220960927971723,-0.1515439587190319,-0.08475728450501373,-0.2631657991273627
crate__crate#io,-0.1988464873587013,-0.06220934010776704,-0.1494419476979114,-0.082331867379793,-0.2608417199181689
apache__kafka#org,-0.19958410516464262,-0.062209601551129895,-0.15118785517628028,-0.08466242660635877,-0.2561461427954681
cantaloupe-project__cantaloupe#edu,-0.19769588026899199,-0.062160356924954786,-0.12310908394458536,-0.05229389033178773,-0.12603157982594734
JCTools__JCTools#org,-0.1997084112666761,-0.0622096092793806,-0.15154169878205956,-0.08475631885121752,-0.2611733576338904
hazelcast__hazelcast#com,-0.19970901878048244,-0.06220960927944425,-0.15154193245241843,-0.08475411306512633,-0.22283513838397473
protostuff__protostuff#io,-0.19970933491772477,-0.06220960927963963,-0.15154291894013183,-0.08475469319638612,-0.04528965789142816
eclipse__eclipse-collections#org,1.5689706458355326,-0.02830936820486385,0.5944590436843127,0.429605434287425,-0.2840787749994999
JCTools__JCTools#org,-0.1996457072418476,-0.062209606618440265,-0.15133503309717827,-0.0847463349800325,-0.25108031163563455
jgrapht__jgrapht#org,-0.16630078687109318,-0.0621425873287603,-0.11837387593713042,-0.045077697095449114,-0.2774908033198187
hazelcast__hazelcast#com,-0.19970933493441595,-0.06220960927968906,-0.15154336506860547,-0.0847567175865102,-0.14123066438808868
eclipse__jetty,-0.19970929986798036,-0.06220960927925481,-0.1515412946243272,-0.08475271568732981,0.0697263018685071
netty__netty#io,-0.1997093446980037,-0.062209609279708,-0.1515436512981751,-0.08475674017459085,-0.18365464027002862
eclipse__rdf4j#org,-0.17019811822614594,-0.06206598559483134,-0.10298700425415545,-0.04246940008589361,-0.2699634351568362
ReactiveX__RxJava#io,-0.12461942196773991,-0.0621980533401126,-0.1377706289616462,-0.07843697446153189,-0.28682849761362267
apache__camel#org,-0.19970737273694666,-0.062209609275368484,-0.15153560158575155,-0.0847534191068793,-0.24058783428294286
ReactiveX__RxJava#io,-0.1996898241906408,-0.06220960927299847,-0.1515335487031146,-0.08474761955090133,-0.28275163348632
netty__netty#io,-0.19970919603270726,-0.06220960927951297,-0.15154221788078795,-0.08475450570702402,-0.17906772373308602
raphw__byte-buddy#net,-0.19970938315675893,-0.062209609279716666,-0.15154391762480157,-0.08475732128496223,-0.001999015869239655
crate__crate#io,-0.19916822694093936,-0.062209583251227,-0.1508903736094067,-0.08436020526662502,-0.27500994930970135
protostuff__protostuff#io,-0.19970933430862306,-0.06220960927960417,-0.15154268587765754,-0.08475496983098048,0.0015548813684223717
apache__logging-log4j2#org,-0.19970890984329207,-0.06220960927699604,-0.1515373670361845,-0.0847500475110399,-0.12785751332185014
cantaloupe-project__cantaloupe#edu,-0.19853263666824672,-0.06220039547672357,-0.1392453658677658,-0.058531136548169174,-0.16837706801604754
eclipse__rdf4j#org,-0.1980680594162885,-0.06217497153982655,-0.12769813542464448,-0.06086911660946327,-0.12134429532315542
eclipse__jetty,-0.19970914938514533,-0.06220960927860907,-0.15153978518810365,-0.08475439968147101,-0.0831524128273494
r2dbc__r2dbc-h2#io,-0.1997078150184731,-0.062209609276564895,-0.15153685705801892,-0.08475109695965102,-0.23620014582509458
eclipse__eclipse-collections#org,0.3137798892197791,-0.0544778546028134,0.20472514064000585,0.03672522821326842,-0.2809405734292437
crate__crate#io,-0.1990788395335481,-0.062209591213966554,-0.1509994644265061,-0.08428013697821436,-0.2789811677478995
HdrHistogram__HdrHistogram#bench,-0.1996123769626015,-0.06220922986277453,-0.14904832141716925,-0.07950216404144725,0.00783251534143749
jdbi__jdbi#org,-0.19970934331925197,-0.062209609279717484,-0.1515439855721683,-0.08475737438598471,-0.272149746281947
raphw__byte-buddy#net,-0.19970938477612551,-0.062209609279717755,-0.15154404792400178,-0.08475746307911029,-0.2782779339831659
apache__hive#org,-0.19970473928621416,-0.06220960927967397,-0.15154320361834434,-0.08475655396644034,-0.28684092906596115
eclipse__rdf4j#org,-0.044181676093677374,-0.06172148588400467,-0.0620273546508472,-0.011496293790488051,-0.2823047386619396
eclipse-vertx__vert,-0.19970911106897066,-0.06220960927862298,-0.15153981203274397,-0.08475421206432826,-0.11268701765933933
jgrapht__jgrapht#org,1.996740541784768,0.5614445765083251,3.0481699137372256,0.29326049435050555,-0.2721392082191132
jgrapht__jgrapht#org,0.16640393325965072,-0.058063853840895095,0.1093361226780747,-0.015534947224638522,-0.28072431200186415
apache__camel#org,-0.19970934499920673,-0.062209609279717366,-0.15154397155455598,-0.08475725449007578,-0.267787301853832
yellowstonegames__SquidLib#squidpony,-0.19833159894043978,-0.062209034333243915,-0.14847182693337743,-0.08404824716786548,-0.2632212255338797
apache__logging-log4j2#org,-0.1995894396745026,-0.06220950893192922,-0.15026055947945993,-0.08376915402936615,-0.16550526474534283
apache__kafka#org,-0.19964946336812248,-0.062209608518631644,-0.1514322734511122,-0.08470927331469122,-0.26742644113271574
prometheus__client_java#io,-0.19970935312792096,-0.06220960927971756,-0.15154399509151298,-0.08475739723795389,-0.27059867336026583
apache__logging-log4j2#org,-0.19970748510406655,-0.06220960927873851,-0.1515400419441295,-0.08475355530729475,-0.26464459965302933
crate__crate#io,-0.02454091579600914,-0.06174994559482524,-0.06467614931727493,-0.05410408752077539,-0.2832236627276449
h2oai__h2o-3#water,0.5748176179561636,-0.028891268791559933,0.588028725994715,0.1042515136322641,-0.27792909273140076
apache__kafka#org,-0.19970861621502714,-0.0622096092781671,-0.15153900599422446,-0.0847539040953992,-0.21358204043503687
cantaloupe-project__cantaloupe#edu,-0.18842117284248114,-0.061925747846528045,-0.08327994153435578,-0.021209255299619898,-0.21918179016608508
protostuff__protostuff#io,-0.19970933336719085,-0.06220960927971736,-0.15154397103717282,-0.08475738144583644,-0.27214007279962926
hazelcast__hazelcast#com,-0.1997089389588563,-0.06220960927907798,-0.15154081061812755,-0.08475316610154231,-0.20578673748401888
ReactiveX__RxJava#io,2.128866361735017,-0.050405195544094755,0.288667513077037,-0.009800059348144841,-0.28676364257720216
openzipkin__zipkin#zipkin2,-0.19970934284798308,-0.06220960927971762,-0.15154400494647857,-0.08475742946621993,-0.2772150361746007
zalando__logbook#org,-0.19970877816179058,-0.06220960927901804,-0.15154066218807774,-0.08475430352694242,-0.22488854839920336
HdrHistogram__HdrHistogram#bench,-0.1995307564530827,-0.06220672716365999,-0.14466553196663434,-0.07521109979561097,0.15526896502490609
yellowstonegames__SquidLib#squidpony,-0.19957215890617006,-0.062209608792042174,-0.15145457577461124,-0.08470185162999495,-0.28142285109289894
HdrHistogram__HdrHistogram#bench,-0.19951447261543062,-0.06220548271239686,-0.1433134095647637,-0.06958154741128503,0.19818294902007552
protostuff__protostuff#io,-0.1996178787135524,-0.06220960464107997,-0.15126809881468858,-0.0846956859957191,-0.2541570201351194
apache__logging-log4j2#org,-0.19970934929789455,-0.06220960927971765,-0.15154401088881903,-0.08475741832159245,-0.2770340076812172
apache__arrow#org,-0.19969833091075684,-0.06220960927932703,-0.15154151877956698,-0.08475666539592659,-0.2863023078959977
RoaringBitmap__RoaringBitmap#org,-0.19053944703832587,-0.06220955869977306,-0.15063282055664348,-0.08231260933258513,-0.2877981478992842
apache__tinkerpop#org,-0.1983238358240036,-0.06220937226538039,-0.1495715081010959,-0.08399045505959356,-0.2725212274314613
prometheus__client_java#io,-0.19970933861687776,-0.06220960927971752,-0.15154398908523417,-0.08475740075487274,-0.2745437129152292
openzipkin__zipkin#zipkin2,-0.1997093424573161,-0.06220960927971763,-0.15154400690040784,-0.0847574154964465,-0.27780367170366776
zalando__logbook#org,-0.19970159026817869,-0.06220960915767568,-0.15149929099241327,-0.08471014621286677,-0.2227301450349148
r2dbc__r2dbc-h2#io,-0.19969969866086965,-0.06220940527765718,-0.14971402854676957,-0.08219798667016442,1.8897412485221283
apache__tinkerpop#org,-0.19970388289903584,-0.06220960875154933,-0.15145093515487226,-0.08465006912953907,-0.09383690334796731
eclipse-vertx__vert,-0.1996958150192366,-0.06220960919660972,-0.15150711447577456,-0.08472738169766211,-0.2575520953890458
apache__tinkerpop#org,-0.1992704890190398,-0.0617156313610943,-0.06149212578081152,0.0158275428066207,2.077978402995626
crate__crate#io,-0.17575079283430886,-0.06220652419875301,-0.1444274520093394,-0.08031621038761003,-0.28551786882505076
prestodb__presto#com,2.2003654876104797,0.0053466409148198325,0.9015617463412341,0.13882238702859206,-0.28388271823241434
yellowstonegames__SquidLib#squidpony,-0.19588827107099407,-0.06220870739358623,-0.14769622836297017,-0.08347140838304008,-0.27732784987323794
eclipse-vertx__vert,-0.19969545295312768,-0.062209609230806207,-0.15151571498246874,-0.08472274627160901,-0.2654873070558737
apache__arrow#org,-0.19970617253728623,-0.06220960927969712,-0.1515434693316961,-0.08475715302307986,-0.2868565791488536
apache__hive#org,-0.19970821148787454,-0.06220960927970821,-0.1515436555347461,-0.08475709729842851,-0.28506470131869477
jgrapht__jgrapht#org,-0.14279552041307636,-0.061925820306151146,-0.08328865477749646,-0.06316581616365048,-0.2751096294721373
cantaloupe-project__cantaloupe#edu,-0.19952714962672313,-0.062056728389128187,-0.10144657630932047,-0.024923485045717543,2.8823088797070433
apache__camel#org,-0.19965657309003032,-0.06220960757011292,-0.1513765235152555,-0.08459619286193744,-0.25235281820685523
h2oai__h2o-3#hex,0.2541232126209533,-0.06033259803356418,0.02399456599189445,-0.04194774068398252,-0.28448246280146666
prestodb__presto#com,-0.19968025315729512,-0.06220960927142907,-0.15153238647357345,-0.08475125810341579,-0.284325823582159
apache__kafka#org,-0.1995977624631266,-0.06220960862965267,-0.15144074727686593,-0.08470189616128286,-0.2782685085108189
apache__hive#org,-0.19969749324035937,-0.062209609279198136,-0.15154113074653083,-0.08475689132192799,-0.2861120584778957
eclipse__jetty,-0.19970857397339561,-0.06220960927110464,-0.1515321603736126,-0.08474852298616711,-0.12054078759373343
protostuff__protostuff#io,-0.19970933306889066,-0.0622096092796772,-0.15154323547086593,-0.08475499266835357,-0.1192445981644539
eclipse__eclipse-collections#org,-0.12916747209909937,-0.06143818313853722,-0.03900936323712271,-0.04497168244280266,-0.27054121439831885
ReactiveX__RxJava#io,-0.18549858484072446,-0.06219827044445364,-0.13790062479683365,-0.07747527011252482,-0.2778690590503494
apache__arrow#org,-0.19970917218111778,-0.06220960927941539,-0.1515418234714878,-0.08475463871746751,-0.17015093866453174
prometheus__client_java#io,-0.1997017993819326,-0.0622096086773883,-0.15144461250543972,-0.08473927674082936,-0.13779065833168974
eclipse__rdf4j#org,-0.0006161762794396329,-0.06100273449801369,-0.010786941108890944,0.0011446914584028942,-0.280788633753049
prestodb__presto#com,-0.19966421425681413,-0.06216271001973138,-0.12379665547731379,-0.05523492009705454,6.79682825466306
h2oai__h2o-3#water,-0.191172493390058,-0.06212743969249193,-0.1148162620683579,-0.05349645375409184,-0.23931372570182424
cantaloupe-project__cantaloupe#edu,-0.14922313786394356,-0.06220903765079533,-0.14848070341883754,-0.08280881680399978,-0.28824453007071577
HdrHistogram__HdrHistogram#bench,-0.19959896110367698,-0.062209606124528936,-0.15131646206132218,-0.08426409542497033,-0.26516891826787414
zalando__logbook#org,-0.19970933381527478,-0.06220960927971721,-0.15154395703341378,-0.08475735834789146,-0.2690501836972345
r2dbc__r2dbc-h2#io,-0.19970418458523972,-0.062209464776102154,-0.15000384617283294,-0.08093048609475674,3.1253558092853813
eclipse__eclipse-collections#org,-0.18877118666928983,-0.06218882004082047,-0.13307015384408963,-0.08278736145763085,-0.26946091792674987
netty__netty#io,-0.19970921280371023,-0.06220960927971699,-0.15154393971748556,-0.08475737349242193,-0.2816130394823734
hazelcast__hazelcast#com,-0.19970934070950958,-0.06220960927971708,-0.15154394612910274,-0.08475735390879194,-0.2635520873972
apache__arrow#org,-0.19303066471056682,-0.06220894351286158,-0.14823807064170283,-0.08344111848228396,-0.2832341458804048
eclipse__rdf4j#org,4.070176982545338,-0.049741816400227075,0.3008678544783316,0.03155575181755582,-0.2877222110257712
eclipse__eclipse-collections#org,0.5455360333094428,-0.045911487047139904,0.3657149074373291,0.2716133119434591,-0.2809375906657998
raphw__byte-buddy#net,-0.19638435165781054,-0.0621480131089305,-0.11974485879126834,-0.053108054617578025,-0.1786190172325303
zalando__logbook#org,-0.19969909847049577,-0.062209609110563634,-0.15149135505083958,-0.08469963618495081,-0.229867471761612
prometheus__client_java#io,-0.1997093553931744,-0.06220960927971772,-0.15154402974967413,-0.08475742802123386,-0.2814086020020055
r2dbc__r2dbc-h2#io,-0.19970534585743757,-0.06220955570157308,-0.15060620207198794,-0.08365758521747559,2.3872655041681172
r2dbc__r2dbc-h2#io,-0.19970791239631863,-0.06220960927698511,-0.15153735362459259,-0.08475279203739222,-0.23660137720359364
r2dbc__r2dbc-h2#io,-0.19969619039723704,-0.06220960926944187,-0.1515310632045127,-0.08474886827052128,-0.277591977986592
apache__hive#org,-0.19848419423384353,-0.06220959981352299,-0.15114984201951112,-0.08440372354593248,-0.2852327545231818
eclipse__jetty,-0.1997091749323071,-0.06220960927858459,-0.15153973834753928,-0.08475420314031518,-0.05600967957004373
ReactiveX__RxJava#io,-0.19970933304060834,-0.06220960927966602,-0.15154312987845647,-0.08475547902650242,-0.0973807703984146
apache__tinkerpop#org,-0.19970824555434674,-0.06220960927743212,-0.15153792589243578,-0.08475235318998188,-0.22712017013055796
eclipse-vertx__vert,-0.19970288799681127,-0.06220960926747466,-0.15152987438511745,-0.08474763064930275,-0.2637855981126079
prestodb__presto#com,-0.1997090458754609,-0.0622096092797171,-0.15154394772846952,-0.08475736817623422,-0.2854542961875147
RoaringBitmap__RoaringBitmap#org,-0.19970934640775004,-0.062209609279717644,-0.15154400942374766,-0.08475743413842662,-0.277449937817865
crate__crate#io,0.13892039074875012,-0.06040570358907946,0.020542190479227757,-0.04857113231598927,-0.2830820762408163
r2dbc__r2dbc-h2#io,-0.19958249980866719,-0.06219013228296757,-0.13366270436420913,-0.06627991438943993,1.3367292907006316
prometheus__client_java#io,-0.19970246957490626,-0.06220960881159289,-0.15145638764008146,-0.08474985278316782,-0.14278216163924284
ReactiveX__RxJava#io,-0.19970163822765294,-0.06220960927678639,-0.1515371143719836,-0.08475255843241103,-0.27861900921700655
eclipse__eclipse-collections#org,0.07509447265567586,-0.059661137150705236,0.0529963859319443,0.07977727382131233,-0.28035807153403397
RoaringBitmap__RoaringBitmap#org,-0.1997093491794879,-0.06220960927971761,-0.15154400302886595,-0.0847573884413723,-0.27476589826822484
zalando__logbook#org,-0.19970063716828132,-0.06220960926534263,-0.15152868949588938,-0.08475262600442443,-0.2686944842140268
imglib__imglib2#net,-0.17089400632493265,-0.06220891189101735,-0.14816046952997525,-0.08080295226503839,-0.28758990804015305
raphw__byte-buddy#net,-0.19970934285310388,-0.062209609279678876,-0.15154325253615933,-0.0847552486960815,-0.08720743917985693
imglib__imglib2#net,-0.17595797219800635,-0.06219736368090444,-0.1373655852863083,-0.0791538354460936,-0.28205804136997303
apache__tinkerpop#org,-0.19970861633580778,-0.06220960927858235,-0.15153973408666244,-0.08475286850894607,-0.22444736123100437
RoaringBitmap__RoaringBitmap#org,-0.17829313288166254,-0.06220430743090847,-0.14221466876632588,-0.08103307137217175,-0.28391915864678
JCTools__JCTools#org,-0.19970188203114794,-0.062209609190074344,-0.15150568964791375,-0.08475443243645497,-0.22999000375816406
raphw__byte-buddy#net,-0.1990647277029841,-0.062182351377884616,-0.13039039491334017,-0.06257752601740475,0.08959427561319414
apache__hive#org,-0.19970473812761314,-0.062209609279671445,-0.15154317949324134,-0.08475655578084823,-0.286781607249735
prometheus__client_java#io,-0.1997093479001018,-0.062209609279717616,-0.15154400414317307,-0.08475740458286428,-0.2755286581945263
hazelcast__hazelcast#com,-0.19970928509389138,-0.06220960927959606,-0.1515426379848588,-0.08475509471515094,-0.13131659034729717
jdbi__jdbi#org,-0.19970327137889649,-0.06220960880295706,-0.15145558273813065,-0.08466648465491673,-0.12210606379712213
imglib__imglib2#net,-0.18721478699780067,-0.062205413247303304,-0.14324442290127612,-0.08179362433659398,-0.2812816125170609
h2oai__h2o-3#hex,-0.19963035726254458,-0.06220960893307643,-0.15146861526851624,-0.08475066941649476,-0.2779332495888157
prometheus__client_java#io,-0.19970935474966406,-0.06220960927971771,-0.15154402812366202,-0.08475744209270746,-0.28099693412202115
apache__kafka#org,-0.19970874061962757,-0.06220960927957777,-0.15154253548132307,-0.08475695168475024,-0.26195382447248394
openzipkin__zipkin#zipkin2,-0.19970744495396664,-0.06220960927724733,-0.1515376830782429,-0.0847515454032956,-0.2511456536884708
netty__netty#io,-0.19970933900242058,-0.06220960927971683,-0.15154392851706863,-0.08475732282711859,-0.2603253999688774
netty__netty#io,-0.199709025377517,-0.06220960927936612,-0.15154164877101087,-0.08475464382918677,-0.21262281149895434
apache__camel#org,-0.1995483515531183,-0.061650202875777896,-0.05571372819451437,0.014753942473089627,6.575944833863424
apache__hive#org,-0.19970932320636134,-0.06220960927971703,-0.15154394292354634,-0.08475734998334426,-0.2697892986961543
r2dbc__r2dbc-h2#io,-0.19970234105901635,-0.06220905002121844,-0.14851403113863362,-0.07707389358259788,4.670900962896751
prometheus__client_java#io,-0.19970931362101887,-0.06220960927958688,-0.15154258565802328,-0.08475492132820642,-0.06323419510182614
