Project,Benchmark,Average Duration,Standard Deviation
JCTools,oneReferenceArgBaseline,5.660540518602945e-08,1.1262984766114523e-08
crate,benchmarkHLLAggregationOffHeap,0.0011777028738291402,0.0002554580458488377
apache,RecordBatchIterationBenchmark,0.0001709889721396806,4.328672797918847e-05
cantaloupe-project,processor,0.002748071895920083,0.003455557979577207
JCTools,MpqRelaxedBurstCost,1.3337930292499337e-06,2.8590171085260965e-07
hazelcast,OAHashSetBenchmark,5.046473804102541e-07,2.5750493232733765e-07
protostuff,runtime_deserialize_1_int_field,7.317764888154228e-08,1.3762206292759658e-07
eclipse,map,2.413925970739245,0.09065798834117475
JCTools,MpqRelaxedBurstCost,8.691336144295246e-05,2.5400938597374302e-05
jgrapht,testEppsteinKShortestPaths,0.04559665379555573,0.004031003892820612
hazelcast,SparseBitSetAddBenchmark,7.315486846363364e-08,8.34063227664197e-08
eclipse,testJavaStringReplaceReduce,1.210141634898244e-07,3.350169588065298e-07
netty,appendCheckBeforeCopy,5.98293502376015e-08,4.8622288815985665e-08
eclipse,forwardChainingSchemaCachingRDFSInferencerSchema,0.040277506639641886,0.0059008926946702445
ReactiveX,flowableDedicated,0.1024841220096066,0.0016738144640613874
apache,TypeConverterTest,2.7511968764960277e-06,1.0268631833292993e-06
ReactiveX,flowablePlain,2.6701765013927712e-05,1.2763396417909067e-06
netty,getCharSequence,2.627303911626345e-07,2.228182641785855e-07
raphw,baseline,7.340157041430526e-09,1.6256959024922076e-08
crate,benchmarkHLLPlusPlusMurmur128,0.000738586969150768,7.943816032452992e-05
protostuff,generated_deserialize_1_int_field,7.400896172586203e-08,1.659449683073563e-07
apache,jmh,6.533267954727983e-07,8.123169088959494e-07
cantaloupe-project,processor,0.0016060518786804054,0.0014945971362481077
eclipse,noReasoningMultipleTransactions,0.0022401151756722662,0.0028978737309220395
eclipse,testJettyStringUtilReplaceSame,3.2639581338179265e-07,5.184511194092273e-07
r2dbc,preparedJdbc,2.1475631822700126e-06,8.742919796331155e-07
eclipse,map,0.7008192998058667,0.043295595515735544
crate,measureConsumeHashInnerJoin,0.0008605844927082611,6.618090430253339e-05
HdrHistogram,roundtripCompressed,0.0001324031194097197,0.0003032934596768408
jdbi,stringEquals,6.171109511135233e-08,7.999658722209238e-09
raphw,baseline,5.1300166820006986e-09,4.2235532167364923e-10
apache,operators,6.345377277916247e-06,1.0302655757421468e-07
eclipse,selectDistinct,0.212266988339199,0.01087851203789603
eclipse-vertx,vertxSmall,3.786904101561221e-07,5.151888258537725e-07
jgrapht,EdmondsKarpMaximumFlowRandomGraphBenchmark,2.9977539335509538,0.38884507753132025
jgrapht,testBellmanFordGnm,0.4996779737087945,0.03170344993985463
apache,TypeConverterTest,5.9418262964910917e-08,9.703148349169146e-09
yellowstonegames,insertIntegerSquidMildOM2,0.0018804317454856224,0.0003733519226172903
